COMM_CODE,CLASS,RE_UNIT_PRICE,has_attraction,commu_center,commu_center_per_person,has_hospital,has_library,has_phs_clinic,schools_per_person,has_social_dev_ctr,MALE,FEMALE,English,Eng_not_spk_oft_home,Eng_ratio,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,crime_per_person,disorder_per_person
BED,Residential,886.2818536,0,1,9.06618E-05,0,0,0,0.000271985,0,"5,310.00","5,171.00",8635,2395,0.782864914,11030,Cantonese,910,0.08,Mandarin,310,0.03,Spanish,185,0.02,0.015049864,0.043155032
BRE,Residential,1060.125714,0,1,0.000159109,0,1,0,0.000954654,0,"2,756.00","2,825.00",5325,960,0.84725537,6285,Mandarin,200,0.03,Cantonese,125,0.02,Persian (Farsi),70,0.01,0.037708831,0.099920446
CHW,Residential,1149.7259,0,1,0.000283286,0,0,0,0.000849858,0,"3,561.00","3,864.00",3260,270,0.923512748,3530,Mandarin,45,0.01,German,45,0.01,Arabic,25,0.01,0.021813031,0.032577904
ACA,Residential,814.4904227,0,1,0.000101937,0,0,1,0.000917431,0,204,189,8555,1255,0.872069317,9810,"Tagalog (Pilipino, Filipino)",255,0.02,Spanish,160,0.02,Russian,75,0.01,0.043221203,0.124057085
CAM,Residential,1091.529119,0,1,0.000465116,0,0,0,0.001395349,0,"1,551.00","1,548.00",2055,95,0.955813953,2150,Spanish,45,0.02,Greek,10,0,0,0,0,0.022325581,0.041395349
CAP,Residential,1433.284818,0,2,0.000493827,0,0,0,0.000740741,0,"13,040.00","11,302.00",3635,415,0.897530864,4050,Korean,80,0.02,Cantonese,65,0.02,Spanish,60,0.01,0.057283951,0.10345679
BNF,Residential,1264.042592,0,1,0.00027248,0,0,0,0.000544959,0,NULL,NULL,3210,460,0.874659401,3670,Mandarin,135,0.04,Cantonese,105,0.03,Spanish,40,0.01,0.054495913,0.136784741
CAN,Residential,815.5102441,0,1,0.000131666,0,0,0,0.000526662,0,"1,121.00","1,122.00",6615,980,0.870967742,7595,Mandarin,215,0.03,Russian,110,0.01,Spanish,105,0.01,0.022514812,0.036076366
BRA,Residential,723.6971214,0,1,0.00017331,0,0,0,0.00034662,0,781,768,5110,660,0.885615251,5770,Spanish,185,0.03,Mandarin,60,0.01,"Tagalog (Pilipino, Filipino)",45,0.01,0.017504333,0.040207972
BOW,Residential,686.3676219,0,1,9.46074E-05,0,1,0,0.000567644,0,323,315,9880,690,0.934720908,10570,"Tagalog (Pilipino, Filipino)",160,0.01,Arabic,50,0,Mandarin,40,0,0.039545885,0.116177862
CLI,Residential,1684.35701,0,1,0.000540541,0,0,0,0.001081081,0,"1,984.00","2,010.00",1715,135,0.927027027,1850,Mandarin,40,0.02,Spanish,30,0.02,Finnish,10,0.01,0.116756757,0.401621622
ARB,Residential,1038.594298,0,1,9.85222E-05,0,1,0,0.000295567,0,340,345,7970,2180,0.785221675,10150,Mandarin,425,0.04,Cantonese,360,0.03,Spanish,230,0.02,0.023842365,0.056650246
CIT,Residential,1039.635232,0,1,0.000105485,0,0,0,0.000421941,0,"3,117.00","2,928.00",7295,2185,0.769514768,9480,Mandarin,370,0.04,Cantonese,280,0.03,Spanish,245,0.02,0.008333333,0.017405063
BRD,Residential,1766.200491,1,1,0.000190114,0,0,0,0.000760456,1,"3,499.00","3,558.00",4615,645,0.877376426,5260,Cantonese,100,0.02,Spanish,80,0.01,Arabic,65,0.01,0.067110266,0.20513308
ALB,Residential,733.2481668,0,1,0.000164069,0,0,0,0.000656276,0,650,617,4565,1530,0.748974569,6095,"Tagalog (Pilipino, Filipino)",375,0.06,Arabic,180,0.03,Vietnamese,130,0.02,0.061033634,0.222149303
ABB,Residential,758.7900806,0,1,0.00018018,0,0,0,0.000720721,0,"1,978.00","2,216.00",4420,1130,0.796396396,5550,"Tagalog (Pilipino, Filipino)",260,0.04,Vietnamese,215,0.03,Arabic,120,0.02,0.025225225,0.078018018
CPF,Residential,1159.002572,0,1,8.33681E-05,0,0,0,0.000250104,0,"2,057.00","2,140.00",10240,1755,0.853689037,11995,"Tagalog (Pilipino, Filipino)",320,0.03,Spanish,220,0.02,Vietnamese,105,0.01,0.01208837,0.024260108
CHA,Residential,1144.915237,0,1,7.66871E-05,0,0,0,0.000230061,0,"2,908.00","2,972.00",11680,1360,0.895705521,13040,Mandarin,200,0.01,Spanish,165,0.01,Russian,140,0.01,0.00690184,0.021472393
CED,Residential,834.6768067,0,1,0.000163132,0,0,0,0.000489396,0,"4,806.00","4,335.00",5440,690,0.887438825,6130,Spanish,130,0.02,"Tagalog (Pilipino, Filipino)",110,0.02,Russian,75,0.01,0.014845024,0.038662316
EDG,Residential,1041.524976,0,1,6.80272E-05,0,0,0,0.000272109,0,"3,273.00","3,549.00",10845,3855,0.737755102,14700,Mandarin,1240,0.08,Cantonese,1105,0.07,Korean,220,0.01,0.01244898,0.017891156
HUN,Residential,782.3269062,0,1,7.6599E-05,0,1,1,0.000536193,1,"1,819.00","1,830.00",11035,2020,0.845270011,13055,Cantonese,670,0.05,Spanish,255,0.02,Mandarin,230,0.02,0.027192646,0.05691306
DRN,Residential,798.3790598,0,1,0.000198807,0,0,0,0.000397614,0,"2,660.00","2,636.00",4815,215,0.957256461,5030,Cantonese,30,0.01,German,30,0.01,"Tagalog (Pilipino, Filipino)",25,0,0.012127237,0.02445328
HIW,Residential,926.3191451,0,1,0.000498753,0,0,0,0.001995012,0,156,138,1900,105,0.947630923,2005,Cantonese,35,0.02,Spanish,20,0.01,Mandarin,10,0,0.03840399,0.055860349
HPK,Residential,1132.984809,0,1,0.000260756,0,0,0,0.000521512,0,"2,401.00","2,323.00",3250,585,0.847457627,3835,Cantonese,225,0.06,Mandarin,60,0.01,"Tagalog (Pilipino, Filipino)",45,0.01,0.053194263,0.125423729
CRE,Residential,1706.802763,0,1,0.000176835,0,0,0,0.000176835,0,"3,231.00","3,302.00",5025,630,0.888594164,5655,Cantonese,150,0.03,Mandarin,60,0.01,Arabic,30,0.01,0.070910698,0.139876216
GBK,Residential,1171.230939,0,1,0.000146413,0,0,0,0.000439239,0,"6,735.00","6,628.00",5930,900,0.868228404,6830,"Tagalog (Pilipino, Filipino)",140,0.02,Arabic,100,0.01,Korean,90,0.01,0.029868228,0.056222548
GDL,Residential,974.4457439,0,1,0.000357143,0,0,0,0.001428571,0,"1,006.00","1,115.00",2545,255,0.908928571,2800,"Tagalog (Pilipino, Filipino)",80,0.03,Spanish,45,0.02,Polish,30,0.01,0.033928571,0.118928571
KIL,Residential,1689.517259,0,1,0.000139082,0,0,0,0.000417246,0,"2,100.00","2,173.00",6505,685,0.90472879,7190,Spanish,120,0.02,"Tagalog (Pilipino, Filipino)",75,0.01,Russian,50,0.01,0.039638387,0.091655076
HIL,Residential,2023.013337,1,1,0.000188501,0,0,0,0.000565504,0,"7,479.00","6,721.00",4900,405,0.923656927,5305,Arabic,75,0.01,Spanish,70,0.01,Mandarin,40,0.01,0.087087653,0.168897267
DAL,Residential,794.7754895,0,1,0.000118273,0,0,0,0.000473093,0,"6,284.00","6,342.00",6825,1630,0.807214666,8455,Mandarin,480,0.05,Cantonese,195,0.02,"Tagalog (Pilipino, Filipino)",130,0.01,0.021998817,0.042460083
EYA,Residential,1828.063626,0,1,0.000628931,0,0,0,0.001886792,0,"1,386.00","1,716.00",1460,130,0.918238994,1590,Portuguese,45,0.03,Marathi,15,0.01,Japanese,10,0.01,0.042767296,0.066037736
