index,COMM_CODE,CLASS,CLASS_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CREATED_DT,MODIFIED_DT,RE_VALUE,RE_AREA,RE_UNIT_PRICE,NR_VALUE,NR_AREA,NR_UNIT_PRICE,FL_VALUE,FL_AREA,FL_UNIT_PRICE,attaction,commu_center,court,elementary,hospital,juniorhigh,library,phs_clinic,seniorhigh,social_dev_ctr,visitor_info,MALE,FEMALE,English,Eng_not_spk_oft_home,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,total_crime_counts,total_disorder_counts
13,BED,Residential,1,"BEDDINGTON HEIGHTS",NORTH,ESTABLISHED,1960s/1970s,2016/12/21,2020/10/22,375325.4716981132,423.483195754717,886.2818535909582,2431528.6885245903,8109.608196721312,299.8330658573184,NULL,NULL,NULL,0,1,0,2,0,0,0,0,1,0,0,"5,310.00","5,171.00",8635,2395,10481,Cantonese,910,0.08,Mandarin,310,0.03,Spanish,185,0.02,166,476
46,CHV,Residential,1,"COUNTRY HILLS VILLAGE",NORTH,COMPLETE,2000s,2016/12/21,2022/07/25,NULL,NULL,NULL,17612800,39898,441.44568650057647,NULL,NULL,NULL,0,0,0,0,0,0,1,0,1,0,0,"1,205.00","1,171.00",1835,345,2376,Cantonese,100,0.04,Mandarin,70,0.03,"Tagalog (Pilipino, Filipino)",25,0.01,156,201
90,BRE,Residential,1,BRENTWOOD,NORTHWEST,ESTABLISHED,1960s/1970s,2016/12/21,2023/01/17,584885.8366935484,551.7136592741934,1060.1257135141343,8303761.71875,18324.3125,453.1554304561221,NULL,NULL,NULL,0,1,0,5,0,2,1,0,1,0,0,"2,756.00","2,825.00",5325,960,5581,Mandarin,200,0.03,Cantonese,125,0.02,"Persian (Farsi)",70,0.01,237,628
93,CHW,Residential,1,CHARLESWOOD,NORTHWEST,ESTABLISHED,1950s,2016/12/21,2023/01/17,641007.5585789871,557.5307634164776,1149.725899699192,1533250,13585.246666666668,112.86140308089118,NULL,NULL,NULL,0,1,0,2,0,1,0,0,0,0,0,"3,561.00","3,864.00",3260,270,7425,Mandarin,45,0.01,German,45,0.01,Arabic,25,0.01,77,115
107,BLN,Residential,1,BELTLINE,CENTRE,ESTABLISHED,"CENTRE CITY",2016/12/21,2023/01/19,NULL,NULL,NULL,42860528.39784946,25199.10989247312,1700.8746967944194,NULL,NULL,NULL,2,1,0,3,0,2,1,1,3,0,1,"1,175.00","1,414.00",16555,3285,2589,Spanish,345,0.02,Mandarin,340,0.02,Russian,235,0.01,2265,7236
110,CHN,Residential,1,CHINATOWN,CENTRE,ESTABLISHED,"CENTRE CITY",2016/12/21,2023/02/22,NULL,NULL,NULL,1745294.972067039,3093.9111731843573,564.1063606460049,NULL,NULL,NULL,2,0,0,0,0,0,0,0,1,0,0,"3,699.00","3,688.00",615,860,7387,Cantonese,500,0.32,Mandarin,185,0.12,Amharic,30,0.02,120,154
112,ACA,Residential,1,ACADIA,SOUTH,ESTABLISHED,1960s/1970s,2016/12/21,2023/03/02,433786.875,532.5868333333333,814.4904226885069,5362746.036036036,39135.68468468468,137.02956979655673,NULL,NULL,NULL,0,1,0,8,0,6,0,1,3,0,0,204,189,8555,1255,393,"Tagalog (Pilipino, Filipino)",255,0.02,Spanish,160,0.02,Russian,75,0.01,424,1217
116,CAM,Residential,1,"CAMBRIAN HEIGHTS",CENTRE,ESTABLISHED,1950s,2016/12/21,2023/03/06,612921.3483146067,561.5254213483146,1091.5291187403093,1270940,5564.184,228.414444957248,NULL,NULL,NULL,0,1,0,2,0,0,0,0,0,0,0,"1,551.00","1,548.00",2055,95,3099,Spanish,45,0.02,Greek,10,0,0,0,0,48,89
118,CAP,Residential,1,"CAPITOL HILL",CENTRE,ESTABLISHED,1950s,2016/12/21,2023/03/06,605480.2725968437,422.4423959827833,1433.2848178938937,2453542.222222222,5737.830555555556,427.6079954725435,NULL,NULL,NULL,0,2,0,2,0,0,0,0,0,0,0,"13,040.00","11,302.00",3635,415,24342,Korean,80,0.02,Cantonese,65,0.02,Spanish,60,0.01,232,419
134,BNF,Residential,1,"BANFF TRAIL",CENTRE,ESTABLISHED,1950s,2016/12/21,2023/04/11,664405.0833995234,525.619221604448,1264.042592223764,3717187.5,4782.232142857143,777.291312708874,NULL,NULL,NULL,0,1,0,1,0,1,0,0,1,0,0,NULL,NULL,3210,460,0,Mandarin,135,0.04,Cantonese,105,0.03,Spanish,40,0.01,200,502
